Wavelength,Dan_Bruton
380,#000000
381,#09020A
382,#110312
383,#19051A
384,#1F0621
385,#260729
386,#2C0830
387,#310A37
388,#370B3E
389,#3B0C45
390,#400D4C
391,#440E52
392,#481059
393,#4C115F
394,#501265
395,#53136B
396,#561471
397,#581577
398,#5B167D
399,#5D1783
400,#5F1889
401,#60198E
402,#621A94
403,#631B99
404,#641C9E
405,#641DA3
406,#651DA8
407,#651EAD
408,#651FB2
409,#6520B6
410,#6421BB
411,#6321BF
412,#6222C3
413,#6123C7
414,#6024CB
415,#5E24CF
416,#5C25D3
417,#5A26D6
418,#5826DA
419,#5627DD
420,#5327E0
421,#5128E3
422,#4E28E6
423,#4B29E9
424,#4829EB
425,#442AED
426,#412AF0
427,#3D2AF2
428,#392BF4
429,#352BF6
430,#312BF7
431,#2D2CF9
432,#292CFA
433,#242CFB
434,#202CFC
435,#1B2CFD
436,#162CFE
437,#112DFE
438,#0C2DFF
439,#062DFF
440,#002DFF
441,#002FFF
442,#0032FF
443,#0035FF
444,#0038FF
445,#003BFF
446,#003FFF
447,#0042FF
448,#0045FF
449,#0049FF
450,#004CFF
451,#0050FF
452,#0054FF
453,#0058FF
454,#005CFF
455,#005FFF
456,#0063FF
457,#0067FF
458,#006CFF
459,#0070FF
460,#0074FE
461,#0078FE
462,#007CFE
463,#0080FE
464,#0084FE
465,#0089FD
466,#008DFD
467,#0091FD
468,#0095FC
469,#0099FC
470,#009DFB
471,#00A1FA
472,#00A5FA
473,#00A9F9
474,#00ADF7
475,#00B0F6
476,#00B4F5
477,#00B8F3
478,#00BBF1
479,#00BFEF
480,#00C2ED
481,#00C5EA
482,#00C8E8
483,#00CBE5
484,#00CEE1
485,#00D1DE
486,#00D4DA
487,#00D6D6
488,#00D9D1
489,#00DBCC
490,#00DEC7
491,#00E0C2
492,#00E2BC
493,#00E4B7
494,#00E6B0
495,#00E8AA
496,#00E9A4
497,#00EB9D
498,#00EC96
499,#00EE90
500,#00EF89
501,#00F082
502,#00F27B
503,#00F374
504,#00F46D
505,#00F566
506,#00F65F
507,#00F659
508,#00F753
509,#00F84C
510,#00F947
511,#06F941
512,#0AFA3B
513,#0FFA36
514,#13FB31
515,#18FB2D
516,#1CFB28
517,#20FC24
518,#24FC21
519,#28FC1D
520,#2CFD1A
521,#30FD17
522,#34FD14
523,#38FD12
524,#3CFE10
525,#40FE0E
526,#44FE0C
527,#47FE0A
528,#4BFE09
529,#4FFE08
530,#53FE06
531,#56FE06
532,#5AFE05
533,#5EFE04
534,#61FE03
535,#65FE03
536,#69FE02
537,#6CFD02
538,#70FD02
539,#73FD01
540,#77FD01
541,#7BFD01
