Wavelength,Lang_bright
380,#8548C5
381,#8247C4
382,#7D45C5
383,#7543C4
384,#6E40C2
385,#633DC3
386,#5C3BC3
387,#5539C3
388,#4F38C6
389,#4936C6
390,#4535C6
391,#4134C5
392,#3D34C5
393,#3B33C5
394,#3933C5
395,#3633C9
396,#3533C9
397,#3433CA
398,#3333CA
399,#3333CC
400,#3333CE
401,#3333CF
402,#3333CF
403,#3333CF
404,#3333CF
405,#3333CE
406,#3333D0
407,#3333D0
408,#3334D1
409,#3334D3
410,#3334D2
411,#3334D2
412,#3335D4
413,#3335D5
414,#3336D6
415,#3336D8
416,#3336D7
417,#3336D8
418,#3338D9
419,#3339DB
420,#333ADB
421,#333BDB
422,#333BDC
423,#333CDD
424,#333CDD
425,#333CDD
426,#333CDE
427,#333CDF
428,#333DDF
429,#333DDF
430,#333EDE
431,#333FDE
432,#3340DF
433,#3340DE
434,#3341E0
435,#3342E1
436,#3343E1
437,#3343E1
438,#3343E1
439,#3344E1
440,#3344E2
441,#3345E2
442,#3346E2
443,#3347E3
444,#3349E4
445,#3349E4
446,#3348E3
447,#334AE4
448,#334BE5
449,#334CE6
450,#334DE6
451,#334DE5
452,#334DE5
453,#3350E7
454,#3351E7
455,#3352E9
456,#3353EA
457,#3354EB
458,#3354EB
459,#3355EC
460,#3356EC
461,#3356EE
462,#3356EE
463,#3357ED
464,#3359ED
465,#335AED
466,#335BEE
467,#335EF0
468,#335EF0
469,#335FF0
470,#3361F2
471,#3364F3
472,#3367F4
473,#336BF7
474,#336EF9
475,#3371FC
476,#3375FE
477,#3378FE
478,#337CFF
479,#3380FF
480,#3383FF
481,#3389FF
482,#338DFF
483,#3390FF
484,#3394FF
485,#3399FF
486,#339EFF
487,#33A2FF
488,#33A7FF
489,#33AEFF
490,#33B7FF
491,#33C0FF
492,#33C9FF
493,#33D1FF
494,#33D9FF
495,#33E2FF
496,#33E8FF
497,#33EFFF
498,#33F4FF
499,#33F8FF
500,#33FBFF
501,#33FDFF
502,#33FEFF
503,#33FEFD
504,#33FEF2
505,#33FFE4
506,#33FFDA
507,#33FFCB
508,#33FFBD
509,#33FFAE
510,#33FFA2
511,#33FF9C
512,#33FF97
513,#33FF93
514,#33FF8D
515,#33FF88
516,#33FF84
517,#33FF80
518,#33FF7D
519,#33FF78
520,#33FF73
521,#33FF6E
522,#33FF69
523,#33FF66
524,#33FF62
525,#33FF5E
526,#33FF5A
527,#33FF57
528,#33FF54
529,#33FF51
530,#33FF4D
531,#33FF49
532,#33FF47
533,#33FF45
534,#33FF42
535,#33FF40
536,#33FF3F
537,#33FF3D
538,#33FF3B
539,#33FF3A
540,#33FF37
541,#33FF36
542,#33FF36
543,#33FF35
544,#33FF34
545,#33FF33
546,#33FF33
547,#33FF33
548,#33FF33
549,#33FF33
550,#35FF33
551,#36FF33
552,#38FF33
553,#3BFF33
554,#3EFF33
555,#42FF33
556,#46FF33
557,#4BFF33
558,#50FF33
559,#57FF33
560,#5FFF33
561,#66FF33
562,#6DFF33
563,#74FF33
564,#7BFF33
565,#84FF33
566,#8DFF33
567,#95FF33
568,#A1FF33
569,#ACFF33
570,#BAFF33
571,#CAFF33
572,#D6FF33
573,#E3FF33
574,#EEFF33
575,#FBFF33
576,#FFFF33
577,#FFFF33
578,#FFFF33
579,#FFFF33
580,#FFFF33
581,#FFFF33
582,#FFFF33
583,#FFFF33
584,#FFFF33
585,#FFFF33
586,#FFFE33
587,#FFFC33
588,#FFF833
589,#FFF333
590,#FFED33
591,#FFE733
592,#FFE333
593,#FFDE33
594,#FFD933
595,#FFD233
596,#FFCD33
597,#FFC633
598,#FFC133
599,#FFBC33
600,#FFB533
601,#FFAE33
602,#FFA833
603,#FFA133
604,#FF9C33
605,#FF9633
606,#FF9133
607,#FF8D33
608,#FF8A33
609,#FF8833
610,#FF8433
