Wavelength,Lang
380,#6A2AA4
381,#6729A4
382,#6226A5
383,#5B23A4
384,#541FA2
385,#491AA3
386,#4114A3
387,#3A11A3
388,#320FA6
389,#2C0CA6
390,#260AA6
391,#2007A5
392,#1A05A5
393,#1402A5
394,#1100A5
395,#0C00A8
396,#0800A8
397,#0500A9
398,#0100A9
399,#0000AB
400,#0100AD
401,#0200AE
402,#0200AE
403,#0200AE
404,#0200AE
405,#0100AD
406,#0102AF
407,#0002AF
408,#0004B0
409,#0005B1
410,#0105B1
411,#0005B1
412,#0008B3
413,#0009B3
414,#000AB4
415,#000CB6
416,#000BB5
417,#000CB6
418,#000FB7
419,#0011B9
420,#0013B9
421,#0014B9
422,#0016BA
423,#0017BB
424,#0017BB
425,#0017BB
426,#0018BB
427,#0019BC
428,#001ABC
429,#001ABC
430,#001BBC
431,#021EBC
432,#021FBC
433,#001FBC
434,#0020BD
435,#0022BE
436,#0023BE
437,#0023BE
438,#0124BE
439,#0124BE
440,#0125BF
441,#0126BF
442,#0027BF
443,#0029C0
444,#002BC1
445,#002BC1
446,#002AC0
447,#002CC1
448,#002EC2
449,#002FC3
450,#0030C3
451,#0131C2
452,#0131C2
453,#0134C4
454,#0034C4
455,#0036C5
456,#0037C6
457,#0038C7
458,#0039C7
459,#003AC8
460,#003BC8
461,#003BCA
462,#003BCA
463,#003CC9
464,#003EC9
465,#0040C9
466,#0040CA
467,#0143CC
468,#0043CC
469,#0044CC
470,#0046CE
471,#004ACE
472,#004DCF
473,#0051D2
474,#0053D4
475,#0057D6
476,#005BD8
477,#005EDA
478,#0061DC
479,#0065DF
480,#0169E1
481,#006EE4
482,#0072E7
483,#0075E9
484,#0078EB
485,#017DEE
486,#0181F1
487,#0085F3
488,#018AF5
489,#0190F7
490,#0098FB
491,#00A0FD
492,#01A8FD
493,#01B0FE
494,#00B7FE
495,#01BFFE
496,#00C5FE
497,#00CBFD
498,#00CFFD
499,#01D2FA
500,#01D5F1
501,#00D7EA
502,#00D8E0
503,#01D9D9
504,#01DACD
505,#01DBC1
506,#01DBB8
507,#01DCAA
508,#00DC9E
509,#00DC90
510,#00DC85
511,#00DC80
512,#01DC7B
513,#01DC77
514,#01DC72
515,#01DB6D
516,#01DC6A
517,#01DB65
518,#00DC62
519,#00DC5E
520,#00DD59
521,#00DD54
522,#00DC4F
523,#00DC4C
524,#00DC48
525,#01DC43
526,#01DB3F
527,#01DC3C
528,#00DC38
529,#00DC34
530,#00DB30
531,#00DA2C
532,#01DA28
533,#01DA25
534,#01DA22
535,#01DA1E
536,#01DB1C
537,#01DA1A
538,#01DA17
539,#00DA12
540,#00DA0E
541,#00DB0D
542,#00DA0A
543,#00DB09
544,#00DB06
545,#00DC03
546,#00DD00
547,#00DD00
548,#00DD00
549,#03DD01
550,#08DD00
551,#0CDE00
552,#10DF01
553,#16E001
554,#1BE101
555,#22E202
556,#28E300
557,#2EE500
558,#34E600
559,#3CE801
560,#44E801
561,#4CEA02
562,#53EC02
563,#5AED01
564,#60ED00
565,#69ED00
566,#72EC00
567,#79EC00
568,#84EC00
569,#8EED01
570,#9BEC00
571,#A9EC00
572,#B4ED00
573,#C0ED00
574,#CAEE01
575,#D6ED01
576,#DFEC00
577,#E8ED01
578,#F0EE00
579,#F7ED01
580,#FDEA02
581,#FEE901
582,#FEE700
583,#FEE302
584,#FEE101
585,#FEDD01
586,#FFD901
587,#FED601
588,#FED302
589,#FECE00
590,#FEC901
591,#FEC402
592,#FEC002
593,#FEBC02
594,#FEB700
595,#FEB100
596,#FFAC02
597,#FEA600
598,#FFA100
599,#FE9C00
600,#FE9600
601,#FE9002
602,#FE8A02
603,#FE8401
604,#FD7F00
605,#FD7A00
606,#FE7501
607,#FE7200
608,#FE6F01
609,#FD6D00
610,#FE6A00
611,#FE6600
612,#FE6300
613,#FE6000
614,#FF5E00
615,#FE5B00
616,#FE5800
617,#FE5600
618,#FE5300
619,#FD5001
620,#FE4E02
621,#FE4B01
622,#FE4701
623,#FE4401
624,#FE4101
625,#FD3F00
626,#FE3C00
627,#FD3A00
628,#FD3801
629,#FE3501
630,#FE3302
631,#FE3001
632,#FE2E01
633,#FC2B00
634,#FE2800
635,#FE2600
636,#FE2400
637,#FE2201
638,#FE2000
639,#FE1D00
640,#FE1B00
641,#FE1900
642,#FE1701
643,#FE1501
644,#FE1300
645,#FD1100
646,#FE0F00
647,#FC0C00
648,#FD0B00
649,#FD0A00
650,#FE0900
651,#FE0600
652,#FE0401
653,#FE0301
654,#FE0202
655,#FD0000
656,#FC0000
657,#FD0000
658,#FD0000
659,#FD0000
660,#FD0000
661,#FC0000
662,#FB0100
663,#FA0200
664,#FA0000
665,#FA0000
666,#F90000
667,#F80000
668,#F60000
669,#F50001
670,#F50002
671,#F50002
672,#F50002
673,#F50002
674,#F30001
675,#F00000
676,#EF0000
677,#EC0000
678,#EC0001
679,#EB0001
680,#E90001
681,#E80001
682,#E60000
683,#E50000
684,#E30000
685,#E20001
686,#E20101
