Wellenlaenge,Melanopsin,L-cone-opsin,M-cone-opsin,S-cone-opsin,Rhodopsin,V(lambda)
380,9.18165E-04,0.00000E+00,0.00000E+00,0.00000E+00,5.89E-04,3.90E-05
381,1.04557E-03,0.00000E+00,0.00000E+00,0.00000E+00,6.65E-04,4.28E-05
382,1.17858E-03,0.00000E+00,0.00000E+00,0.00000E+00,7.52E-04,4.69E-05
383,1.32279E-03,0.00000E+00,0.00000E+00,0.00000E+00,8.54E-04,5.16E-05
384,1.48381E-03,0.00000E+00,0.00000E+00,0.00000E+00,9.72E-04,5.72E-05
385,1.66724E-03,0.00000E+00,0.00000E+00,0.00000E+00,1.108E-03,6.40E-05
386,1.88102E-03,0.00000E+00,0.00000E+00,0.00000E+00,1.268E-03,7.23E-05
387,2.12989E-03,0.00000E+00,0.00000E+00,0.00000E+00,1.453E-03,8.22E-05
388,2.41457E-03,0.00000E+00,0.00000E+00,0.00000E+00,1.668E-03,9.35E-05
389,2.73583E-03,0.00000E+00,0.00000E+00,0.00000E+00,1.918E-03,1.06E-04
390,3.09442E-03,4.07619E-04,3.58227E-04,6.14265E-03,2.209E-03,1.20E-04
391,3.50706E-03,4.97068E-04,4.38660E-04,7.44280E-03,2.547E-03,1.35E-04
392,3.99078E-03,6.04713E-04,5.36230E-04,9.01661E-03,2.939E-03,1.51E-04
393,4.54679E-03,7.33640E-04,6.54061E-04,1.09170E-02,3.394E-03,1.70E-04
394,5.17625E-03,8.87247E-04,7.95649E-04,1.32053E-02,3.921E-03,1.92E-04
395,5.88035E-03,1.06921E-03,9.64828E-04,1.59515E-02,4.53E-03,2.17E-04
396,6.69334E-03,1.28340E-03,1.16572E-03,1.92347E-02,5.24E-03,2.47E-04
397,7.65102E-03,1.53382E-03,1.40263E-03,2.31436E-02,6.05E-03,2.81E-04
398,8.75694E-03,1.82443E-03,1.67992E-03,2.77750E-02,6.98E-03,3.19E-04
399,1.00146E-02,2.15896E-03,2.00180E-03,3.32339E-02,8.06E-03,3.57E-04
400,1.14277E-02,2.54073E-03,2.37208E-03,3.96308E-02,9.29E-03,3.96E-04
401,1.30767E-02,2.97282E-03,2.79433E-03,4.70801E-02,1.070E-02,4.34E-04
402,1.50397E-02,3.45993E-03,3.27374E-03,5.57012E-02,1.231E-02,4.73E-04
403,1.73166E-02,4.00793E-03,3.81660E-03,6.56137E-02,1.413E-02,5.18E-04
404,1.99071E-02,4.62370E-03,4.43021E-03,7.69323E-02,1.619E-02,5.72E-04
405,2.28112E-02,5.31546E-03,5.12316E-03,8.97612E-02,1.852E-02,6.40E-04
406,2.63194E-02,6.09138E-03,5.90458E-03,1.04188E-01,2.113E-02,7.25E-04
407,3.05964E-02,6.95291E-03,6.78005E-03,1.20273E-01,2.405E-02,8.26E-04
408,3.54538E-02,7.89634E-03,7.75260E-03,1.38044E-01,2.730E-02,9.41E-04
409,4.07028E-02,8.91300E-03,8.82286E-03,1.57485E-01,3.089E-02,0.00106988
410,4.61550E-02,9.98835E-03,9.98841E-03,1.78530E-01,3.484E-02,0.00121
411,5.17822E-02,1.11054E-02,1.12452E-02,2.01077E-01,3.916E-02,0.001362091
412,5.77804E-02,1.22607E-02,1.25949E-02,2.25091E-01,4.39E-02,0.001530752
413,6.42972E-02,1.34578E-02,1.40425E-02,2.50566E-01,4.90E-02,0.001720368
414,7.14801E-02,1.47044E-02,1.55944E-02,2.77507E-01,5.45E-02,0.001935323
415,7.94766E-02,1.60130E-02,1.72596E-02,3.05941E-01,6.04E-02,0.00218
416,8.91807E-02,1.73958E-02,1.90467E-02,3.35858E-01,6.68E-02,0.0024548
417,1.00756E-01,1.88452E-02,2.09545E-02,3.66981E-01,7.36E-02,0.002764
