Wellenlaenge,equ,flu,flu2,inc,led_kw,led_nw,led_ww,led,tag
380,1.3701832769143264e-5,5.648871134598748e-7,8.529911785446749e-7,8.193429554055264e-7,3.3943041274915056e-8,1.229101169762518e-7,1.0466600862418365e-8,-3.009543247907086e-8,1.194884951481037e-5
381,1.3701832769143264e-5,4.749050953866205e-7,6.804503075058071e-7,8.706165234372398e-7,5.1488995336645946e-8,1.1323422173522993e-7,2.96313808692876e-8,6.848960547562639e-9,1.0998940975976072e-5
382,1.3701832769143264e-5,3.024395607462162e-7,4.982142607019199e-7,9.160674023118044e-7,7.352433902700411e-8,9.63588448377674e-8,4.6708863144408666e-8,3.4144817912301326e-8,1.0099027623396212e-5
383,1.3701832769143264e-5,1.8546293725098545e-7,3.055812553925204e-7,9.520107345896436e-7,7.064523060878355e-8,7.623612183360428e-8,5.759275787640379e-8,3.304498483167083e-8,9.699066133360716e-6
384,1.3701832769143264e-5,1.254749252021492e-7,9.642167565553944e-8,9.77152379104505e-7,3.8463215779323374e-8,5.183287012360368e-8,6.142637433382601e-8,2.0946820944735373e-8,9.799056505869593e-6
385,1.3701832769143264e-5,5.998801204883629e-8,-1.052137231207093e-7,1.0021020228012888e-6,7.455937458672891e-9,2.8336727863240072e-8,6.51676192372446e-8,3.2145121402064064e-8,1.0149022809650646e-5
386,1.3701832769143264e-5,-1.6346733283307886e-8,-7.469994521544386e-8,1.0101696189148447e-6,-2.2268447686641162e-8,4.8554958051347316e-8,1.301047766809254e-8,7.19890743685416e-8,1.0598979485940576e-5
387,1.3701832769143264e-5,-1.3547292721028858e-8,-4.1137245444542864e-8,1.0184735151656636e-6,-5.03827629000744e-8,6.862846587871423e-8,-3.746453817174276e-8,9.748520487406677e-8,1.114892653473938e-5
388,1.3701832769143264e-5,1.3297342670825374e-7,4.8700764002836354e-8,1.046455102215739e-6,-5.049038539070543e-8,6.489871529796597e-8,-7.918927672539793e-8,6.998937785830436e-8,1.1598883211029313e-5
389,1.3701832769143264e-5,3.05938861449065e-7,1.849779717641395e-7,1.0910266729959202e-6,-2.6745579174377976e-8,4.0967703172434674e-8,-1.1277073176738442e-7,1.8347215481426923e-8,1.1998844701064804e-5
390,1.3701832769143264e-5,3.399320682767389e-7,3.086319647585892e-7,1.133523855807111e-6,-5.553166044054534e-9,2.122235424018292e-8,-1.3860404014995085e-7,-1.3098012142054097e-8,1.2148830259828116e-5
391,1.3701832769143264e-5,2.2595484538395e-7,3.649018489936117e-7,1.1698893672750766e-6,-8.005875529698524e-10,4.3785129450375474e-8,-7.204969957066606e-8,-1.4447807286464253e-8,1.1998844701064804e-5
