Wellenlaenge (nm),Bestrahlungsstaerke
380,0.001370183
381,0.001370183
382,0.001370183
383,0.001370183
384,0.001370183
385,0.001370183
386,0.001370183
387,0.001370183
388,0.001370183
389,0.001370183
390,0.001370183
391,0.001370183
392,0.001370183
393,0.001370183
394,0.001370183
395,0.001370183
396,0.001370183
397,0.001370183
398,0.001370183
399,0.001370183
400,0.001370183
401,0.001370183
402,0.001370183
403,0.001370183
404,0.001370183
405,0.001370183
406,0.001370183
407,0.001370183
408,0.001370183
409,0.001370183
410,0.001370183
411,0.001370183
412,0.001370183
413,0.001370183
414,0.001370183
415,0.001370183
416,0.001370183
417,0.001370183
418,0.001370183
419,0.001370183
420,0.001370183
421,0.001370183
422,0.001370183
423,0.001370183
424,0.001370183
425,0.001370183
426,0.001370183
427,0.001370183
428,0.001370183
429,0.001370183
430,0.001370183
431,0.001370183
432,0.001370183
433,0.001370183
434,0.001370183
435,0.001370183
436,0.001370183
437,0.001370183
438,0.001370183
439,0.001370183
440,0.001370183
441,0.001370183
442,0.001370183
443,0.001370183
444,0.001370183
445,0.001370183
446,0.001370183
447,0.001370183
448,0.001370183
449,0.001370183
450,0.001370183
451,0.001370183
452,0.001370183
453,0.001370183
454,0.001370183
455,0.001370183
456,0.001370183
457,0.001370183
458,0.001370183
459,0.001370183
460,0.001370183
461,0.001370183
462,0.001370183
463,0.001370183
464,0.001370183
465,0.001370183
466,0.001370183
467,0.001370183
468,0.001370183
469,0.001370183
470,0.001370183
471,0.001370183
472,0.001370183
473,0.001370183
474,0.001370183
475,0.001370183
476,0.001370183
477,0.001370183
478,0.001370183
479,0.001370183
480,0.001370183
481,0.001370183
482,0.001370183
483,0.001370183
484,0.001370183
485,0.001370183
486,0.001370183
487,0.001370183
488,0.001370183
489,0.001370183
490,0.001370183
491,0.001370183
492,0.001370183
493,0.001370183
494,0.001370183
495,0.001370183
496,0.001370183
497,0.001370183
498,0.001370183
499,0.001370183
500,0.001370183
501,0.001370183
502,0.001370183
503,0.001370183
504,0.001370183
505,0.001370183
506,0.001370183
507,0.001370183
508,0.001370183
509,0.001370183
510,0.001370183
511,0.001370183
512,0.001370183
513,0.001370183
514,0.001370183
515,0.001370183
516,0.001370183
517,0.001370183
518,0.001370183
519,0.001370183
520,0.001370183
521,0.001370183
522,0.001370183
523,0.001370183
524,0.001370183
525,0.001370183
526,0.001370183
527,0.001370183
528,0.001370183
529,0.001370183
530,0.001370183
531,0.001370183
532,0.001370183
533,0.001370183
534,0.001370183
535,0.001370183
536,0.001370183
537,0.001370183
538,0.001370183
539,0.001370183
540,0.001370183
541,0.001370183
542,0.001370183
543,0.001370183
544,0.001370183
545,0.001370183
546,0.001370183
547,0.001370183
548,0.001370183
549,0.001370183
550,0.001370183
551,0.001370183
552,0.001370183
553,0.001370183
554,0.001370183
555,0.001370183
556,0.001370183
557,0.001370183
