Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
380,5.648871134598748e-5
381,4.749050953866205e-5
382,3.024395607462162e-5
383,1.8546293725098546e-5
384,1.254749252021492e-5
385,5.998801204883629e-6
386,-1.6346733283307886e-6
387,-1.3547292721028857e-6
388,1.3297342670825373e-5
389,3.05938861449065e-5
390,3.399320682767389e-5
391,2.2595484538395e-5
392,1.2497502510174221e-5
393,1.6046793223063705e-5
394,2.5894825201080993e-5
395,3.044391611478441e-5
396,2.794441561274956e-5
397,2.5044995030389145e-5
398,2.584483519104029e-5
399,2.984403599429605e-5
400,4.094181822333075e-5
401,1.0547892118587044e-4
402,2.8944215813563496e-4
403,5.598881124558051e-4
404,7.748451556308017e-4
405,7.798441566348714e-4
406,6.298741265127808e-4
407,4.229154849442957e-4
408,2.24455145082729e-4
409,9.898021988057985e-5
410,8.048391616552198e-5
411,1.1247752259156799e-4
412,1.3247352660784677e-4
413,1.334733268086607e-4
414,1.334733268086607e-4
415,1.4047192821435827e-4
416,1.5046993022249763e-4
417,1.564687314273813e-4
418,1.624675326322649e-4
419,1.7296543474081124e-4
420,1.8896223795383425e-4
421,2.1045794227133392e-4
422,2.364527474924963e-4
423,2.6494705321569354e-4
424,2.924415587380768e-4
425,3.149370632563904e-4
426,3.284343659673786e-4
427,3.394321681763319e-4
428,3.619276726946455e-4
429,3.9442117922109846e-4
430,4.1441718323737724e-4
431,4.244151852455166e-4
432,5.998801204883627e-4
433,0.001204759241980795
434,0.002144571430745897
435,0.0029094185843685587
436,0.0030843836195109976
437,0.00272945454822205
438,0.0019846033986156667
439,0.001134773227923819
440,5.94881119484293e-4
441,5.14897103419178e-4
442,6.148771235005718e-4
443,6.498701305290595e-4
444,6.298741265127808e-4
445,6.148771235005718e-4
446,6.198761245046415e-4
447,6.348731275168505e-4
448,6.398721285209202e-4
449,6.398721285209202e-4
450,6.448711295249898e-4
451,6.448711295249898e-4
452,6.398721285209202e-4
453,6.298741265127808e-4
454,6.198761245046415e-4
455,6.148771235005718e-4
456,6.098781224965021e-4
457,5.998801204883627e-4
458,5.94881119484293e-4
459,5.898821184802234e-4
460,5.94881119484293e-4
461,5.79884116472084e-4
462,5.548891114517355e-4
463,5.348931074354566e-4
464,5.248951054273173e-4
465,5.248951054273173e-4
466,5.14897103419178e-4
467,4.994002003065619e-4
468,4.8190369679231796e-4
469,4.679064939809229e-4
470,4.5640879167156256e-4
471,4.459108895630162e-4
472,4.354129874544698e-4
473,4.2041598444226083e-4
474,4.0391928112883086e-4
475,3.904219784178427e-4
476,3.814237766105173e-4
477,3.779244759076685e-4
478,3.799240763092964e-4
479,3.939212791206915e-4
480,0.00042991408634999323
481,5.098981024151084e-4
482,6.548691315331293e-4
483,8.748251757121956e-4
484,0.0011497702309360284
485,0.00144471129017614
486,0.0017096583433918334
487,0.001874625376526133
488,0.0019396123895790392
489,0.001899620381546482
490,0.0017946413604610183
491,0.0016596683333511368
492,0.0015146973042331159
493,0.0013747252761191642
494,0.0012497502510174226
495,0.001134773227923819
496,0.0010347932078424256
497,9.298141867569623e-4
498,8.148371636633592e-4
499,6.848631375575473e-4
500,5.498901104476658e-4
501,4.1941618424144684e-4
502,3.159368634572043e-4
503,2.469506496010426e-4
504,2.0145974046400852e-4
505,1.689662339375555e-4
506,1.459708293188349e-4
507,1.299740261058119e-4
508,1.1847632379645164e-4
509,1.0697862148709133e-4
510,9.798041967976588e-5
511,9.848031978017289e-5
512,0.00010747852158749831
513,1.1147772239075404e-4
514,1.0347932078424256e-4
515,9.148171837447532e-5
516,8.698261747081257e-5
517,8.79824176716265e-5
518,9.098181827406834e-5
519,9.098181827406834e-5
520,8.048391616552198e-5
521,6.398721285209201e-5
522,5.29894106431387e-5
523,5.3489310743545664e-5
524,5.748851154680142e-5
525,5.748851154680142e-5
526,5.5488911145173546e-5
527,5.4989011044766574e-5
528,5.648871134598748e-5
