Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
380,8.529911785446749e-5
381,6.804503075058071e-5
382,4.982142607019199e-5
383,3.0558125539252036e-5
384,9.642167565553945e-6
385,-1.052137231207093e-5
386,-7.469994521544386e-6
387,-4.113724544454286e-6
388,4.870076400283635e-6
389,1.849779717641395e-5
390,3.0863196475858924e-5
391,3.6490184899361174e-5
392,4.208725157265445e-5
393,4.417064626768469e-5
394,4.396850766236045e-5
395,4.185390723793682e-5
396,2.925943094635767e-5
397,1.6986075331190382e-5
398,3.1678447729764746e-5
399,5.675829984634282e-5
400,1.4793416525174058e-4
401,4.3122365379841726e-4
402,7.182792295253723e-4
403,9.862548745721632e-4
404,0.001245948853879583
405,0.0012752305027010431
406,9.448742395439894e-4
407,6.228554071046102e-4
408,4.210258379467992e-4
409,2.27905424068577e-4
410,1.0755358636380753e-4
411,5.2427211472804184e-5
412,4.667978076659285e-6
413,3.229504726299416e-5
414,5.9444761941041404e-5
415,6.887031466536856e-5
416,6.976016259228172e-5
417,6.685493310301779e-5
418,5.288025471639741e-5
419,3.9237031779820146e-5
420,2.639567901996231e-5
421,1.4071832811573228e-5
422,1.579398877469476e-5
423,3.5592897445997244e-5
424,5.413266311849732e-5
425,4.25160376800875e-5
426,3.145822012357794e-5
427,3.0645159187104324e-5
428,3.600202104866529e-5
429,5.0477803782075306e-5
430,9.903205568954682e-5
431,1.463424087040228e-4
432,0.0010233129055598402
433,0.0020652679300740273
434,0.002962965753255717
435,0.003673215203546422
436,0.004308184450734584
437,0.003059288109344934
438,0.0018614891042818623
439,0.0010650437396165433
440,4.920762107989331e-4
441,7.496993330904172e-5
442,6.580039596365869e-5
443,5.6666293926158805e-5
444,4.562845357519473e-5
445,3.439335877501962e-5
446,2.7628903262483568e-5
447,2.531663298381866e-5
448,2.3460792129145025e-5
449,2.4470780226017984e-5
450,2.5479383639456796e-5
451,1.9969262497797256e-5
452,1.225332302228443e-5
453,1.084352898345216e-5
454,1.9454349080759738e-5
455,2.7941237493104154e-5
456,2.8957670661961544e-5
457,2.997088129482673e-5
458,2.4154002420376883e-5
459,1.502346279571215e-5
460,1.1501679090131208e-5
461,2.0018003354679528e-5
462,2.850632680258298e-5
463,2.88477897374457e-5
464,2.8894403217051858e-5
465,2.723560281505855e-5
466,2.452689766919494e-5
467,2.4300350871335886e-5
468,3.064108066498917e-5
469,3.694995015162566e-5
470,3.419166075078806e-5
471,3.083531398670752e-5
472,3.500941702290659e-5
473,4.419304037522435e-5
474,5.034477346814663e-5
475,4.8248841094021663e-5
476,4.620869887426196e-5
477,6.325047624359905e-5
478,8.096012419732296e-5
479,1.2166627992471955e-4
480,1.7548030220895528e-4
481,2.644261978838018e-4
482,4.45140855234489e-4
483,6.224995434620321e-4
484,8.257699386732378e-4
485,0.001026627585940584
486,0.001131304114828997
487,0.0011836733458300036
488,0.0011859493877548186
489,0.0010961214487324152
490,0.0010108377889802853
491,9.154553811822355e-4
492,8.235878034613212e-4
493,7.364360798762036e-4
494,6.522200110518076e-4
495,5.735376407515454e-4
496,5.014248380644774e-4
497,4.320530791754763e-4
498,3.710319684369299e-4
499,3.1146162829644186e-4
500,2.617347509287402e-4
501,2.1492854856460902e-4
502,1.7359839154162588e-4
503,1.3664320476901288e-4
504,1.0478922953192209e-4
505,8.655695169802306e-5
506,6.826887112172756e-5
507,6.263722512667405e-5
508,5.733796609597395e-5
509,5.199764490743552e-5
510,4.661855258274074e-5
511,3.9594909507393234e-5
512,3.0267455310360378e-5
513,2.402069516976138e-5
514,3.635712940937006e-5
515,4.874284579120345e-5
516,4.427560527199367e-5
517,3.735223845334146e-5
518,2.819755498479754e-5
519,1.7562430928610746e-5
520,1.236798236345123e-5
521,1.7514231357070917e-5
522,2.2645666755551386e-5
523,2.716971705965519e-5
524,3.1737838061058794e-5
525,3.291543579362066e-5
526,3.342992121759672e-5
527,3.878638026215866e-5
528,4.7611458721248726e-5
529,6.36768832131316e-5
530,9.380201824252324e-5
531,1.248583528813844e-4
532,1.635090845191207e-4
533,2.024092479954733e-4
534,3.0071862481270315e-4
535,4.09606101904695e-4
536,6.934862208761951e-4
537,0.0010859208635139285
538,0.001692980683163879
539,0.002640386124025505
540,0.003591393000619056
541,0.004533948273051772
542,0.005484474286852736
543,0.006026713802061754
544,0.0065421659868354735
545,0.006542441664719184
546,0.006333718260263962
547,0.005681223956011878
548,0.004578410458122503
549,0.0035445390896166034
550,0.0026841584849854015
551,0.0018617295356781562
552,0.0014502695944157516
553,0.001044343099916856
554,7.999632158699468e-4
555,5.839884760306772e-4
556,4.432716584786913e-4
557,3.418394428765044e-4
558,2.6492518744134657e-4
559,2.1581210247591237e-4
560,1.7743685990141686e-4
561,1.6750754675571276e-4
562,1.572153206699477e-4
563,1.4021405158507532e-4
564,1.2338128588610834e-4
565,1.135674427507816e-4
566,1.0480438552151048e-4
567,9.771891003681232e-5
568,9.139843438539138e-5
569,7.958175995483976e-5
570,6.270943007374964e-5
571,6.338730814295604e-5
572,9.797425825010181e-5
573,1.549706229428696e-4
574,3.2836710246373317e-4
575,5.014867711780779e-4
576,7.38881430820922e-4
577,9.773478354418023e-4
578,0.0011066231396576743
579,0.0012137144305749423
580,0.001263269355436184
581,0.0012831219394726068
582,0.0013198298973120673
583,0.0013734977096136873
584,0.001439637743247682
585,0.0015290920695034877
586,0.0015941419796338654
587,0.001554634443651167
588,0.0015123462115720608
589,0.0014168357834965079
590,0.0013202465611454356
591,0.0013478621840349826
592,0.0013895663314654999
593,0.001337692313612672
594,0.0012551246474764818
595,0.0011566191491328508
596,0.0010480025664727048
597,9.956152087067416e-4
598,0.0010031981128331131
599,9.882318248752005e-4
600,9.321205498335449e-4
601,8.628583068161542e-4
602,7.512155614508175e-4
603,6.533718159084003e-4
604,6.811848191274705e-4
605,7.093233488338795e-4
606,0.0014223984344924469
607,0.0021495800455766287
608,0.00441934557802546
609,0.006937574929489773
610,0.008988969590356687
611,0.010904310292195974
612,0.010695384220438116
613,0.009339801796856156
614,0.007595573979794185
615,0.005522967227519134
616,0.003878076600023472
617,0.002772415689472224
618,0.0019313161722600762
619,0.001593162630804981
620,0.0013376709139595988
621,0.0013320944161293179
622,0.0013400135465695651
623,0.0014171907659769002
624,0.0014912109071543616
625,0.0015169345489516033
626,0.0015429074337669929
627,0.0016365321747658509
628,0.001731379213596131
629,0.0017824350094196853
630,0.0018299749681236067
631,0.0016434719563772132
632,0.0014119956854925736
633,0.0010914768428533215
634,7.43153556856228e-4
635,5.306813108234985e-4
636,3.757176112977997e-4
637,2.9095610308065863e-4
638,2.457522312104696e-4
639,2.17761610870891e-4
640,2.0227996891484807e-4
641,1.975500161840853e-4
642,2.027044373275728e-4
643,2.091172839520831e-4
644,2.1696252264907114e-4
645,2.2675097572542798e-4
646,2.3922080533187072e-4
647,2.754344311853374e-4
648,3.5134844165978624e-4
649,4.222583320835096e-4
650,4.829161522410586e-4
651,5.136843216692408e-4
652,4.7281778183607526e-4
653,4.292818241024825e-4
654,3.784075476891149e-4
655,3.310653469556533e-4
656,2.9550906809247383e-4
657,2.647684664526626e-4
658,2.528658535329748e-4
659,2.4635633082869797e-4
660,2.645101600520365e-4
661,2.8341486533762383e-4
662,3.062611349586907e-4
663,3.1986149564896524e-4
664,2.782312399617069e-4
665,2.386129293042765e-4
666,2.1278090455823396e-4
667,1.8953760843250112e-4
668,1.849303890061294e-4
669,1.7894125551247067e-4
670,1.628292049529504e-4
671,1.4727782530395088e-4
672,1.3705785451738632e-4
673,1.2786242359178458e-4
674,1.271505704263165e-4
675,1.2634720227388196e-4
676,1.2500767210771123e-4
677,1.247859087617156e-4
678,1.31782084752942e-4
679,1.3738992678095924e-4
680,1.3471497014679536e-4
681,1.323527002081262e-4
682,1.3176055921955646e-4
683,1.412764814200091e-4
684,1.941712627244339e-4
685,2.427643361201866e-4
686,2.743682249410377e-4
687,3.003603694441935e-4
688,3.082582261116794e-4
689,3.0204061985138496e-4
690,2.585084385271581e-4
691,2.276511458379412e-4
692,2.2543464530079497e-4
693,2.2355978393094858e-4
694,2.2235145881417957e-4
695,2.0626609488084494e-4
696,1.6733937065861897e-4
697,1.3500474662547042e-4
698,1.1109281204544635e-4
699,8.969850888540363e-5
700,7.092906199527084e-5
701,9.110629135684703e-5
702,1.4358424518349738e-4
703,2.6227427394681207e-4
704,4.239778571481063e-4
705,6.349357630251186e-4
706,8.716512983836655e-4
707,9.974820137366076e-4
708,0.0010840049651623064
709,0.0010524359451879336
710,9.924355979009842e-4
711,8.892358968352541e-4
712,7.798005886245854e-4
713,6.09025314844578e-4
714,4.3515200070111615e-4
715,2.8678669538010444e-4
716,1.5020101791376518e-4
717,1.0181304131067333e-4
718,6.037049834496163e-5
719,4.577628741383766e-5
720,3.387636833283087e-5
721,2.830963881477681e-5
722,2.7715962086398285e-5
723,3.456523575329197e-5
724,3.9266739533498404e-5
725,4.182737166812593e-5
726,4.400252052271579e-5
727,4.594156826375094e-5
728,5.6270387756271334e-5
729,7.010594322185278e-5
730,5.004441045521589e-5
731,2.2565040415589886e-5
732,2.0472708218393727e-5
733,1.9800696171735663e-5
734,1.8331458931878226e-5
735,2.7124513439545627e-5
736,8.102553160753998e-5
737,1.1637672626608977e-4
738,1.0956525445694853e-4
739,1.0109593893618666e-4
740,9.054836463713216e-5
741,7.883570510854805e-5
742,6.620855028792281e-5
743,4.965448360015771e-5
744,3.124011989466724e-5
745,1.5501870922212847e-5
746,2.560624581808787e-7
747,5.1025395728158894e-5
748,9.953590422714229e-5
749,1.2991993729462732e-4
750,1.5746708129433964e-4
751,1.7734270142789435e-4
752,1.6252243463212886e-4
753,1.0634694804322205e-4
754,6.0260831416976514e-5
755,2.0073944565419403e-5
756,-9.308638866768929e-7
757,-1.7052426843748866e-5
758,-1.1603518780303974e-5
759,7.033864556697819e-6
760,1.0689365882712028e-4
761,2.147644006375055e-4
762,3.381835009693975e-4
763,3.9566309500462313e-4
764,3.8192741297873796e-4
765,2.9680890819620923e-4
766,1.753872766582425e-4
767,9.294236900250588e-5
768,2.0162199252299987e-5
769,3.120915333786704e-5
770,5.935435470082228e-5
771,1.4028139755210012e-4
772,1.689380506235075e-4
773,1.308961391157069e-4
774,9.09995070880112e-5
775,4.963518614829807e-5
776,1.8443643466107257e-5
777,-8.839598753101852e-6
778,-2.365669965901557e-6
779,4.975608160013106e-7
780,-6.1445742795676976e-6
