Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
380,8.193429554055265e-5
381,8.706165234372397e-5
382,9.160674023118043e-5
383,9.520107345896436e-5
384,9.771523791045049e-5
385,1.0021020228012888e-4
386,1.0101696189148447e-4
387,1.0184735151656636e-4
388,1.0464551022157389e-4
389,1.0910266729959202e-4
390,1.1335238558071111e-4
391,1.1698893672750765e-4
392,1.2061647218371621e-4
393,1.2648668849989057e-4
394,1.3380052835836262e-4
395,1.3988511776185118e-4
396,1.3941374184036845e-4
397,1.390141575291234e-4
398,1.4393472110336376e-4
399,1.5091531432454672e-4
400,1.5736865660356597e-4
401,1.6301648588523682e-4
402,1.6870527534143076e-4
403,1.7247461314096139e-4
404,1.7581364649835456e-4
405,1.788481498625537e-4
406,1.8140637989309884e-4
407,1.8396093686451557e-4
408,1.8658327847257523e-4
409,1.892070670433219e-4
410,1.9650888598100996e-4
411,2.084338620083571e-4
412,2.1908083606865246e-4
413,2.1676580707433862e-4
414,2.145567402706391e-4
415,2.1590319470326638e-4
416,2.1897142342855387e-4
417,2.2348338700096113e-4
418,2.3218219276049801e-4
419,2.4075489015662526e-4
420,2.4513818535471513e-4
421,2.4897230256069273e-4
422,2.533199802157191e-4
423,2.583317024392379e-4
424,2.632608364847779e-4
425,2.664759875752029e-4
426,0.00026971707268917103
427,2.729923283835159e-4
428,2.763079877282735e-4
429,2.8074604489882377e-4
430,2.892923630521195e-4
431,2.97943864262275e-4
432,3.020899688845255e-4
433,3.052367788141972e-4
434,3.1004648278565197e-4
435,3.1706881531511267e-4
436,3.2384293809134876e-4
437,3.2508843905035495e-4
438,3.2644535613625717e-4
439,3.3165241832251556e-4
440,3.3890236921311725e-4
441,3.457931394428867e-4
442,3.511963207256392e-4
443,3.5659438198657633e-4
444,3.61369247548722e-4
445,3.660557370821411e-4
446,3.724828114231509e-4
447,3.806187486974603e-4
448,3.8800148624079607e-4
449,3.9056984501014997e-4
450,3.931449933736504e-4
451,4.006835576678895e-4
452,4.098046539223745e-4
453,4.1719128713448294e-4
454,4.217950771851012e-4
455,4.264914728476848e-4
456,4.340603120535281e-4
457,4.416117877071277e-4
458,4.4999426516233073e-4
459,4.5877109560214135e-4
460,4.6542456395124923e-4
461,4.677202259065223e-4
462,4.70018559177525e-4
463,4.762912537303185e-4
464,4.827059732360781e-4
465,4.903173308839535e-4
466,4.98675098668656e-4
467,5.06552252231644e-4
468,5.131851291886683e-4
469,5.19803759128467e-4
470,5.26677388415637e-4
471,5.337503646391414e-4
472,5.417136681344143e-4
473,5.502663306625683e-4
474,5.57878244834554e-4
475,5.629348229013688e-4
476,5.680025314503907e-4
477,5.757559140512323e-4
478,5.836064657617445e-4
479,5.907951990002055e-4
480,5.975589704279888e-4
481,6.052367770546422e-4
482,6.148436075526575e-4
483,6.243914464949737e-4
484,6.331823013423655e-4
485,6.419030341518509e-4
486,6.480268028527096e-4
487,6.528297172300177e-4
488,6.583830487177481e-4
489,6.652871755261664e-4
490,6.721691526749918e-4
491,6.802572288758094e-4
492,6.88272734332635e-4
493,6.97355986947615e-4
494,7.068038741597088e-4
495,7.158416031024606e-4
496,7.243519697982265e-4
497,7.329963474997691e-4
498,7.429221776178481e-4
499,7.527824491957254e-4
500,7.610481678925731e-4
501,7.691385814946545e-4
502,7.76052503127415e-4
503,7.819892797271895e-4
504,7.886347341291082e-4
505,7.97348566039625e-4
506,8.060802067216738e-4
507,8.159916785177052e-4
508,8.259441104882596e-4
509,8.359570922820224e-4
510,8.460098098972656e-4
511,8.555623236421086e-4
512,8.642788268683554e-4
513,8.729752952266287e-4
514,8.814763123173402e-4
515,8.899851207455972e-4
516,8.999437857861879e-4
517,9.101484344835616e-4
518,9.194738863913742e-4
519,9.282449289804372e-4
520,9.377072858194006e-4
521,9.485589494474897e-4
522,9.591290118757319e-4
523,9.665845427727039e-4
524,9.740443032529148e-4
525,9.849933586003187e-4
526,9.966513143595105e-4
527,0.0010063641070481401
528,0.0010146969425526985
529,0.0010236500798306738
530,0.0010337922865228644
531,0.0010439157940049465
532,0.0010527313585228387
533,0.0010615541578541656
534,0.001072463143465623
535,0.001083748673290156
536,0.0010950340918098667
537,0.001106318397281357
538,0.001117429178535234
539,0.0011282736073498882
540,0.0011391069056823349
541,0.0011497242726599586
542,0.0011603605614573349
543,0.0011681274119416476
544,0.0011756905746015652
545,0.0011866251603220993
546,0.001198931021450583
547,0.001210049260127539
548,0.0012199297891830336
549,0.0012303501466255867
550,0.0012421885275013605
551,0.0012539467689052413
552,0.0012647867455270125
553,0.0012755966698468236
554,0.0012886683081511758
555,0.001302022660703595
556,0.0013108391156600636
557,0.0013173571260407082
558,0.0013266143480925895
559,0.001338989218210759
560,0.0013507864163023653
561,0.0013609585639916936
562,0.0013711919293331626
563,0.001382993579617652
564,0.0013947551601661949
565,0.0014050708910759982
566,0.0014151740297756407
567,0.0014272116462829268
568,0.0014400751445700004
569,0.0014498699689124983
570,0.0014568098245688024
571,0.0014651409905010293
572,0.0014761267764397173
573,0.0014873407372636568
574,0.0014997835033232917
575,0.0015122073475631738
576,0.0015224763304477063
577,0.001532718600174941
578,0.0015457490556951255
579,0.0015594384357619873
580,0.0015694213652537902
581,0.0015773974688036013
582,0.0015875551468660602
583,0.0015998910602965039
584,0.001611588084048244
585,0.0016220451720820811
586,0.0016326747825901329
587,0.0016438742737872028
588,0.0016550303561036637
589,0.0016652959998435342
590,0.001675568321872729
591,0.0016878697308083297
592,0.0017004660975224266
593,0.0017141031643229134
594,0.0017280930674093743
595,0.001738161701614174
596,0.0017457794036369078
597,0.0017564357273022575
598,0.0017703566213990325
599,0.001783311389640207
600,0.0017943884455329953
601,0.0018052462309262989
602,0.0018160884336445116
603,0.0018270486194741226
604,0.0018384562506884704
605,0.001849921760410297
606,0.0018618413938061846
607,0.00187378774035937
608,0.001885126362584032
609,0.0018964104454458775
610,0.0019061173389789375
611,0.0019152087168459288
612,0.0019256379786742478
613,0.0019368196610997856
614,0.0019493481318724173
615,0.0019630197031677474
616,0.001974481873744911
617,0.0019831514063362427
618,0.001993477154680033
619,0.002006917211945449
620,0.0020203895476092666
621,0.002033624804002067
622,0.002046786599212299
623,0.002059296148165178
624,0.002071531887255755
625,0.0020797562005587917
626,0.0020879816269100482
627,0.0021001828615057824
628,0.0021124508789947616
629,0.0021244272778499066
630,0.0021364092419461555
631,0.002148332214486706
632,0.0021603175177276166
633,0.0021700322025982217
634,0.002179096867307915
635,0.00219215848817828
636,0.0022068752117528835
637,0.002218075815998174
638,0.0022272951944105504
639,0.0022395966033461508
640,0.002254143030542981
641,0.002265649723048975
642,0.002274473969342989
643,0.0022849121355570734
644,0.0022971979618175843
645,0.002308425279220173
646,0.002318163338103413
