Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
380,-3.0095432479070863e-6
381,6.848960547562639e-7
382,3.4144817912301327e-6
383,3.304498483167083e-6
384,2.0946820944735372e-6
385,3.2145121402064066e-6
386,7.19890743685416e-6
387,9.748520487406678e-6
388,6.9989377858304355e-6
389,1.8347215481426922e-6
390,-1.3098012142054096e-6
391,-1.4447807286464251e-6
392,-1.3197996967565959e-6
393,-2.754581942851835e-6
394,-3.1945151751040336e-6
395,7.698831564413478e-7
396,7.848808802681273e-6
397,1.29480349037863e-5
398,1.284805007827444e-5
399,9.798512900162608e-6
400,6.299044007247389e-6
401,4.344340668490462e-6
402,5.6991350541762105e-6
403,9.54855083638295e-6
404,1.1498254933864286e-5
405,8.048778453704997e-6
406,3.1945151751040336e-6
407,1.979699545134894e-6
408,4.5693065258921555e-6
409,7.398877087877887e-6
410,8.298740517484657e-6
411,8.69867981953211e-6
412,1.024844461496599e-5
413,1.3947883158904934e-5
414,2.00469575151286e-5
415,2.774578907954207e-5
416,3.444477238883692e-5
417,3.759429439246062e-5
418,4.039386950679279e-5
419,4.599301973545713e-5
420,5.449172990396551e-5
421,6.449021245515185e-5
422,7.398877087877887e-5
423,8.498710168508383e-5
424,9.748520487406675e-5
425,1.1248292870084623e-4
426,1.3148004554810027e-4
427,1.5447655541582882e-4
428,1.804726100489133e-4
429,2.0646866468199777e-4
430,2.3296464344264156e-4
431,2.644598634788785e-4
432,2.9995447653559e-4
433,3.4044833086789464e-4
434,3.839417299655553e-4
435,4.289349014458937e-4
436,4.7442799705379156e-4
437,5.299195752128757e-4
438,5.999089530711799e-4
439,6.848960547562638e-4
440,7.79881638992534e-4
441,8.848657057799905e-4
442,9.948490138430401e-4
443,0.0011148308044572762
444,0.0012298133537959192
445,0.0013597936269613413
446,0.0014847746588511706
447,0.0015797602430874407
448,0.001644750379670152
449,0.001674745827323711
450,0.001674745827323711
451,0.0016397511383945585
452,0.001559763277985068
453,0.0014547792111976113
454,0.0013347974205833752
455,0.0012198148712447327
456,0.0011048323219060897
457,0.0010098467376698198
458,9.248596359847356e-4
459,8.548702581264314e-4
460,7.998786040949067e-4
461,7.598846738901614e-4
462,7.248899849610092e-4
463,6.948945373074502e-4
464,6.698983309294844e-4
465,6.449021245515184e-4
466,6.199059181735526e-4
467,5.849112292444005e-4
468,5.549157815908415e-4
469,5.249203339372825e-4
470,4.944249621561642e-4
471,4.6192989386480864e-4
472,4.354339151041648e-4
473,4.194363430222667e-4
474,4.114375569813177e-4
475,4.079380880884024e-4
476,4.0593839157816513e-4
477,4.079380880884024e-4
478,4.1243740523643624e-4
479,4.179365706395888e-4
480,4.2293581191518194e-4
481,4.289349014458937e-4
482,4.4043315637975794e-4
483,4.554308802065374e-4
484,4.68928831650639e-4
485,4.819268589671812e-4
486,4.959247345388421e-4
487,5.09922610110503e-4
488,5.299195752128757e-4
489,5.499165403152484e-4
490,5.749127466932142e-4
491,5.999089530711799e-4
492,6.199059181735526e-4
493,6.449021245515184e-4
494,6.698983309294844e-4
495,6.948945373074502e-4
496,7.19890743685416e-4
497,7.44886950063382e-4
498,7.698831564413476e-4
499,7.948793628193135e-4
500,8.148763279216862e-4
501,8.348732930240588e-4
502,8.548702581264314e-4
503,8.748672232288042e-4
504,8.998634296067701e-4
505,9.198603947091429e-4
506,9.398573598115154e-4
507,9.59854324913888e-4
508,9.748520487406674e-4
509,9.89849772567447e-4
510,0.0010048474963942264
511,0.001019845220221006
512,0.0010348429440477855
513,0.0010448414265989718
514,0.0010598391504257516
515,0.0010698376329769377
516,0.0010848353568037171
517,0.0010948338393549036
518,0.001109831563181683
519,0.0011248292870084623
520,0.0011348277695596488
521,0.001144826252110835
522,0.0011498254933864284
523,0.001159823975937615
524,0.001174821699764394
525,0.0011848201823155804
526,0.001194818664866767
527,0.0012098163886935462
528,0.0012248141125203258
529,0.0012298133537959192
530,0.0012398118363471052
531,0.0012448110776226984
532,0.0012498103188982917
533,0.001259808801449478
534,0.0012748065252762577
535,0.0012898042491030369
536,0.0012998027316542234
537,0.0013148004554810028
538,0.001319799696756596
539,0.0013297981793077825
540,0.0013397966618589688
541,0.001354794385685748
542,0.0013647928682369345
543,0.0013747913507881208
544,0.001384789833339307
545,0.0013947883158904936
546,0.0013997875571660867
547,0.0014047867984416796
548,0.001409786039717273
549,0.0014197845222684593
550,0.0014297830048196456
551,0.001439781487370832
552,0.0014547792111976113
553,0.0014647776937487978
554,0.001474776176299984
555,0.0014847746588511706
556,0.0014947731414023569
557,0.0015047716239535431
558,0.0015097708652291363
559,0.0015147701065047297
560,0.001524768589055916
