Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
380,3.3943041274915058e-6
381,5.148899533664595e-6
382,7.352433902700411e-6
383,7.0645230608783555e-6
384,3.846321577932337e-6
385,7.455937458672891e-7
386,-2.2268447686641164e-6
387,-5.038276290007439e-6
388,-5.049038539070543e-6
389,-2.6745579174377978e-6
390,-5.553166044054534e-7
391,-8.005875529698524e-8
392,3.923164175766455e-7
393,1.8562293465105644e-6
394,3.957177028648637e-6
395,5.24973121356168e-6
396,2.1878658738260634e-6
397,-7.980575922816779e-7
398,5.679892299135121e-7
399,3.6346583656426424e-6
400,5.838757805075605e-6
401,5.878930622904453e-6
402,5.918349016940286e-6
403,6.605316160975422e-6
404,7.4237792724734035e-6
405,6.642045736789915e-6
406,3.3597590919072506e-6
407,1.5837229017408653e-7
408,3.384254445154961e-6
409,6.901739932837023e-6
410,1.3352832735861209e-5
411,2.2612781854044912e-5
412,3.114215574112482e-5
413,3.1901303403068414e-5
414,3.265666399709464e-5
415,3.90685985178531e-5
416,4.7937532873567224e-5
417,5.8456014354410405e-5
418,7.455239840898634e-5
419,9.030800614680724e-5
420,1.1265151750595816e-4
421,1.35820898684176e-4
422,1.6413311809419703e-4
423,1.9907629410818777e-4
424,2.3291882859376915e-4
425,2.7749879688162757e-4
426,3.202204110785544e-4
427,3.7532474076849614e-4
428,4.3754018741045867e-4
429,5.023788762029817e-4
430,5.818674385951642e-4
431,6.598200459678027e-4
432,7.566389287676942e-4
433,8.557012506699056e-4
434,9.691979819392138e-4
435,0.0011023955388131472
436,0.0012326208453300293
437,0.0014003730051176935
438,0.0015621575431450222
439,0.001756842732003007
440,0.001967186450102541
441,0.002187606758652769
442,0.002446972077749157
443,0.002705508228291002
444,0.002962449823920267
445,0.0032178506808652487
446,0.0034357376402981135
447,0.0036154958019806956
448,0.00377460946052945
449,0.003805867719800148
450,0.003837178798702323
451,0.0037597721270678803
452,0.0036445755006020786
453,0.0034920882143119197
454,0.0032828337765370428
455,0.0030707460140018726
456,0.0028669738553358153
457,0.00266411557595403
458,0.0024981134401829237
459,0.0023503460364340057
460,0.002214964337968564
461,0.0021064718183133463
462,0.001998388899951298
463,0.0019006675987305677
464,0.0018029104200243042
465,0.0017007223718547046
466,0.001596236171417348
467,0.001494447758572715
468,0.001399610608550116
469,0.001305324576569178
470,0.001220900866722556
471,0.0011387294656899551
472,0.0010702662539214527
473,0.0010112776881241444
474,9.599246485257327e-4
475,9.286723688359576e-4
476,8.982968950287384e-4
477,8.789655078654219e-4
478,8.614857975943405e-4
479,8.518964433291223e-4
480,8.474872000167886e-4
481,8.444165855535671e-4
482,8.429441137514799e-4
483,8.416699647166454e-4
484,8.490665069980185e-4
485,8.567923248688393e-4
486,8.683513530898238e-4
487,8.818143795361128e-4
488,8.972304367712674e-4
489,9.1644173401773e-4
490,9.35419827608228e-4
491,9.65048551417949e-4
492,9.939571343652752e-4
493,0.0010242802868394255
494,0.0010548648466595571
495,0.0010856268007137133
496,0.0011167834071087335
497,0.0011477456771237825
498,0.001180406148120731
499,0.0012125832696598029
500,0.0012443896571817
501,0.001276017653872752
502,0.001306202578367918
503,0.001335247396100588
504,0.0013651114164195967
505,0.00139803100258984
506,0.0014310343028929933
507,0.001455386146198572
508,0.0014795386701400787
509,0.001503905462397963
510,0.0015284147680011593
511,0.0015518806367334351
512,0.0015736164133855605
513,0.001594604742422413
514,0.0016108662127402823
515,0.001627143628607277
516,0.001642879892400815
517,0.0016585892480802025
518,0.0016713307384285485
519,0.0016821627492690776
520,0.0016906607303563165
521,0.0016949540694584414
522,0.0016990779871011053
523,0.0017023707429955862
524,0.0017055698187889523
525,0.0017027105825113298
526,0.0016985418180117497
527,0.0016954264563512937
528,0.0016930356205792421
529,0.0016894339196704491
530,0.00168359485889994
531,0.0016775036591338793
532,0.0016680170540008402
533,0.0016583859423288487
534,0.0016504470520578337
535,0.0016426945253922272
536,0.0016304603028254466
537,0.0016154007282729354
538,0.001600065096401184
539,0.001584376669255024
540,0.001568519817246222
541,0.001552472615244731
542,0.0015361812470222514
543,0.0015229633833937716
544,0.0015098551454155319
545,0.0014943799899889301
546,0.0014779391322433952
547,0.0014617783182043827
548,0.0014459972075539288
549,0.00143099842540746
550,0.0014179858607239755
551,0.001404738099190885
552,0.0013857359876170167
553,0.0013671066032539645
554,0.00135535573014506
555,0.0013449333205976998
556,0.0013329332982837043
557,0.0013203203689251856
558,0.0013093667732725716
559,0.0013001901097506657
560,0.0012901792946901159
561,0.00127732817869153
562,0.0012651706940799172
563,0.0012586469712938186
564,0.0012522498163039062
565,0.001248099987143913
566,0.001244385670794419
567,0.0012393369113024581
568,0.001233812775127184
569,0.0012301423090377856
570,0.0012281919690603344
571,0.0012274225963150138
572,0.001228786937362091
573,0.0012304831451503495
574,0.0012335965136171649
575,0.0012367058956966987
576,0.001240277698700881
577,0.0012438325595591172
578,0.0012464675615521579
579,0.0012488833122447185
580,0.0012522557958848284
581,0.0012560368842212868
582,0.0012613198439660332
583,0.0012680976989413242
584,0.0012745994965973752
585,0.001280587050294118
586,0.0012863274479794112
587,0.0012910064700510173
588,0.0012958120599188092
589,0.0013037738719166923
590,0.0013117396703018567
591,0.001316205420653905
592,0.0013202934608110355
593,0.0013249973978031507
594,0.001329860790286524
595,0.0013348228458551134
596,0.0013398227721028763
597,0.0013450927760889576
598,0.0013506468101688427
599,0.001354417932537098
600,0.0013549341696900462
601,0.0013558869162503134
602,0.0013590610771231709
603,0.0013617957387982481
604,0.0013608748833362323
605,0.0013598782865158689
606,0.0013567310337571613
607,0.0013534781417354953
608,0.0013496033732979223
609,0.0013455581868040676
610,0.001342714896075571
611,0.0013401097919871412
612,0.001333525276795
613,0.0013247990750358983
614,0.001317236898362981
615,0.0013106254750566903
616,0.0013027772750963292
617,0.0012933953126294283
618,0.0012843193053863793
619,0.0012758731473337995
620,0.0012668589290936129
621,0.0012562910164104796
622,0.001244898918156906
623,0.0012301512784091686
624,0.0012151764145863885
625,0.0012005912201203707
626,0.0011857658458206452
627,0.001171972945826816
628,0.0011579767400816331
629,0.0011431294406518597
630,0.001127997114531462
631,0.0011111217405722492
632,0.0010938517142721725
633,0.001079235625304723
634,0.0010653540281938816
635,0.0010481447942998468
636,0.001029511423549513
637,0.0010110504640491015
638,9.926557782372449e-4
639,9.761751562785778e-4
640,9.610453216502313e-4
641,9.432657353959029e-4
642,9.231365724778853e-4
643,9.048927714246314e-4
644,8.887744124101663e-4
645,8.718354555738142e-4
646,8.537728358225025e-4
647,8.3611493403994e-4
648,8.191868401089299e-4
649,8.024218890774132e-4
650,7.860224897596057e-4
651,7.6835512030725e-4
652,7.481127439904392e-4
653,7.29039475403597e-4
654,7.134181192234473e-4
655,6.972749449481552e-4
656,6.793714817090555e-4
657,6.616293674951725e-4
658,6.444467427362415e-4
659,6.280395699632352e-4
660,6.150992585492271e-4
661,6.021473866121025e-4
662,5.893585579147897e-4
663,5.762878916366779e-4
664,5.615718440081462e-4
665,5.466735188211701e-4
666,5.307735141700467e-4
667,5.153156995281186e-4
668,5.031160588710044e-4
669,4.905788708708333e-4
670,4.760823735218277e-4
671,4.617161313772435e-4
672,4.497598596636621e-4
673,4.3773123502092233e-4
674,4.2630066813008257e-4
675,4.149922840094195e-4
676,4.056447041328212e-4
677,3.9619517240149977e-4
678,3.8684260954079965e-4
679,3.767242616833324e-4
680,3.6293385318155423e-4
681,3.4925815297379994e-4
682,3.370266212184342e-4
683,3.2593928227252764e-4
684,3.2012603335966605e-4
685,3.136060976414848e-4
686,3.0463941706962937e-4
687,2.94915621893344e-4
688,2.829958256233879e-4
689,2.7295531197759097e-4
690,2.680537498359978e-4
691,2.6045828682928036e-4
692,2.469898787601616e-4
693,2.3671974920695302e-4
694,2.3253932452457478e-4
695,2.2855971410149975e-4
696,2.2492034183289677e-4
697,2.1899836420693355e-4
698,2.1019133844570043e-4
699,2.0418584600619076e-4
700,2.0107795882188758e-4
701,1.937709109349833e-4
702,1.8298823163706186e-4
703,1.768824815574236e-4
704,1.738052895551876e-4
705,1.6737644278638756e-4
706,1.5924640524522725e-4
707,1.52902069886794e-4
708,1.4717911264585734e-4
709,1.4299131314700843e-4
710,1.3913308821665368e-4
711,1.35291606112881e-4
712,1.3143597233425923e-4
713,1.2965605041309025e-4
714,1.2791290291459264e-4
715,1.2551279879211152e-4
716,1.2278391737859256e-4
717,1.1791175484320012e-4
718,1.1265241444309649e-4
719,1.0613736204933503e-4
720,9.953920344672343e-5
721,9.28530752427784e-5
722,8.807268930857321e-5
723,8.617185029518955e-5
724,8.490316261093056e-5
725,8.426463306215555e-5
726,8.057476323266479e-5
727,7.485575251513675e-5
728,7.344922552465332e-5
729,7.37650869208993e-5
730,7.206626804897146e-5
731,6.990948304018208e-5
732,6.871324794476352e-5
733,6.752165699052784e-5
734,6.587720247515086e-5
735,6.3221640689706e-5
736,5.623874588459315e-5
737,5.150320680730432e-5
738,5.188807256739225e-5
739,5.131951408137494e-5
740,4.953740961316936e-5
741,5.025641435518872e-5
742,5.284134732397443e-5
743,5.1475830292648936e-5
744,4.848351844160331e-5
745,4.6565468201131964e-5
746,4.4788645696074305e-5
747,4.229770177341707e-5
748,3.953216552884513e-5
749,3.55171360547744e-5
750,3.3399606994739116e-5
751,3.579377140017087e-5
752,3.5335137543439637e-5
753,3.147345442211822e-5
754,2.9244814782580625e-5
755,2.800911445307568e-5
756,2.7999038859221804e-5
757,2.8323301566663432e-5
758,2.6494267354186953e-5
759,2.508803934274962e-5
760,2.72810008161182e-5
761,2.7535252596929298e-5
762,2.330421076204481e-5
763,2.203438695741062e-5
764,2.396016082323978e-5
765,2.5313090836724078e-5
766,2.6388667955101243e-5
767,2.193433860261434e-5
768,1.6809917480051508e-5
769,1.7813899082853778e-5
770,1.847057665972761e-5
771,1.8029722090271664e-5
772,1.7130612370876237e-5
773,1.5659645429988108e-5
774,1.1349563501280598e-5
775,5.42213847709726e-6
776,1.0326377477749929e-5
777,1.6792895606359705e-5
778,1.8531070086723666e-5
779,1.726227277681444e-5
780,8.154423268757787e-6
