Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029266258244
CIE 1931 xy chromaticity [x],0.3945870058836871
CIE 1931 xy chromaticity [y],0.39260680179264007
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.40033237326598214
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.38744367681198416
S-cone-opic irradiance (mW ⋅ m⁻²),40.23510370181744
M-cone-opic irradiance (mW ⋅ m⁻²),125.32835562029516
L-cone-opic irradiance (mW ⋅ m⁻²),161.84726916002455
Rhodopic irradiance (mW ⋅ m⁻²),90.64376498870952
Melanopic irradiance (mW ⋅ m⁻²),71.31211112410296
S-cone-opic EDI (lx),49.22991983774229
M-cone-opic EDI (lx),86.08743521028549
L-cone-opic EDI (lx),99.35938212656009
Rhodopic EDI (lx),62.525723524334005
Melanopic EDI (lx),53.77122751415729
S-cone-opic ELR,0.40234985949068514
M-cone-opic ELR,1.2532798883216651
L-cone-opic ELR,1.6184679549501326
Rhodopic ELR,0.9064349970910246
Melanopic ELR,0.7131190242084774
"CCT (K) - Ohno, 2013",3759.5533765513405
"CCT (K) - Robertson, 1968",3759.0985285069214
Colour Fidelity Index [Rf],82.23531096002733
Colour Rendering Index [Ra],83
CIE 1960 UCS [u],0.2280155282926973
CIE 1976 UCS [u prime],0.2280155282926973
CIE 1960 UCS [v],0.3403068752412612
CIE 1976 UCS [v prime],0.5104603128618918
Duv,0.0033743921378843744
"TM30 - CCT (K) - Ohno, 2013",3759.602146561691
TM30 - Duv,0.003374547774884107
TM30 - Colour Fidelity Index [Rf],82.23554301972135
TM30 - Gamut Index (Rg),98.42154671258986
"TM30 - Rcs, h1",-0.09665235084168407
"TM30 - Rf, h1",80.51929630726598
