Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.0002926360394
CIE 1931 xy chromaticity [x],0.4613374627940547
CIE 1931 xy chromaticity [y],0.410168573202284
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.46694762645514615
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.40263736078277335
S-cone-opic irradiance (mW ⋅ m⁻²),23.470836644853392
M-cone-opic irradiance (mW ⋅ m⁻²),111.52826147557876
L-cone-opic irradiance (mW ⋅ m⁻²),164.8061057014351
Rhodopic irradiance (mW ⋅ m⁻²),65.32944885352849
Melanopic irradiance (mW ⋅ m⁻²),44.754384537014964
S-cone-opic EDI (lx),28.717893089428863
M-cone-opic EDI (lx),76.60821795973432
L-cone-opic EDI (lx),101.17583644237163
Rhodopic EDI (lx),45.06400476107359
Melanopic EDI (lx),33.745995669766906
S-cone-opic ELR,0.23470767960927613
M-cone-opic ELR,1.1152793510464665
L-cone-opic ELR,1.64805623420786
Rhodopic ELR,0.6532925767657626
Melanopic ELR,0.4475425356993985
"CCT (K) - Ohno, 2013",2676.200491302254
"CCT (K) - Robertson, 1968",2676.1076441542928
Colour Fidelity Index [Rf],72.84438187950018
Colour Rendering Index [Ra],82.375
CIE 1960 UCS [u],0.2636459658256665
CIE 1976 UCS [u prime],0.2636459658256665
CIE 1960 UCS [v],0.3516058146838364
CIE 1976 UCS [v prime],0.5274087220257545
Duv,-0.000273645409243
"TM30 - CCT (K) - Ohno, 2013",2676.16407010737
TM30 - Duv,-0.00027804798351808427
TM30 - Colour Fidelity Index [Rf],72.84449514992932
TM30 - Gamut Index (Rg),105.02182430209118
"TM30 - Rcs, h1",-0.0878090756633438
"TM30 - Rf, h1",74.15077581819074
