Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029987627043
CIE 1931 xy chromaticity [x],0.45872782620201236
CIE 1931 xy chromaticity [y],0.41038451223222594
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.46246967443679504
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.4087871352708267
S-cone-opic irradiance (mW ⋅ m⁻²),22.648235745242136
M-cone-opic irradiance (mW ⋅ m⁻²),115.19203001848942
L-cone-opic irradiance (mW ⋅ m⁻²),166.10304507072956
Rhodopic irradiance (mW ⋅ m⁻²),78.88307707757082
Melanopic irradiance (mW ⋅ m⁻²),61.49173998726011
S-cone-opic EDI (lx),27.711394469556097
M-cone-opic EDI (lx),79.12484267328979
L-cone-opic EDI (lx),101.9720382878368
Rhodopic EDI (lx),54.41324583897496
Melanopic EDI (lx),46.366406616993274
S-cone-opic ELR,0.2264816782876113
M-cone-opic ELR,1.1519168458596183
L-cone-opic ELR,1.6610254696860662
Rhodopic ELR,0.7888284052665063
Melanopic ELR,0.6149155558867658
"CCT (K) - Ohno, 2013",2714.2266108116487
"CCT (K) - Robertson, 1968",2714.1347960643793
Colour Fidelity Index [Rf],99.81917199710408
Colour Rendering Index [Ra],100
CIE 1960 UCS [u],0.26186239490358504
CIE 1976 UCS [u prime],0.26186239490358504
CIE 1960 UCS [v],0.3513987981529564
CIE 1976 UCS [v prime],0.5270981972294346
Duv,0.000020233808341
"TM30 - CCT (K) - Ohno, 2013",2714.261259024724
TM30 - Duv,0.000016410554024512845
TM30 - Colour Fidelity Index [Rf],99.81930745886783
TM30 - Gamut Index (Rg),99.97771283106019
"TM30 - Rcs, h1",-0.0008466306716243739
"TM30 - Rf, h1",99.83359850448097
