Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029310197972
CIE 1931 xy chromaticity [x],0.37861911763744194
CIE 1931 xy chromaticity [y],0.35768997765216987
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.38152495931652924
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.35680009498170817
S-cone-opic irradiance (mW ⋅ m⁻²),54.81567570557721
M-cone-opic irradiance (mW ⋅ m⁻²),127.85576534473705
L-cone-opic irradiance (mW ⋅ m⁻²),164.3986998154145
Rhodopic irradiance (mW ⋅ m⁻²),106.31549009321925
Melanopic irradiance (mW ⋅ m⁻²),90.40373125385234
S-cone-opic EDI (lx),67.07007246300071
M-cone-opic EDI (lx),87.82350060287652
L-cone-opic EDI (lx),100.92572658682809
Rhodopic EDI (lx),73.3360197554757
Melanopic EDI (lx),68.16681661436054
S-cone-opic ELR,0.5481551504021743
M-cone-opic ELR,1.2785539059805602
L-cone-opic ELR,1.6439821796098302
Rhodopic ELR,1.063151784813264
Melanopic ELR,0.9040346627950294
"CCT (K) - Ohno, 2013",3899.562320549142
"CCT (K) - Robertson, 1968",3899.3695242936647
Colour Fidelity Index [Rf],91.48649802983101
Colour Rendering Index [Ra],94.625
CIE 1960 UCS [u],0.23174703195825572
CIE 1976 UCS [u prime],0.23174703195825572
CIE 1960 UCS [v],0.3284049331661684
CIE 1976 UCS [v prime],0.49260739974925266
Duv,-0.008670189820175866
"TM30 - CCT (K) - Ohno, 2013",3899.586794105704
TM30 - Duv,-0.008670002075546246
TM30 - Colour Fidelity Index [Rf],91.48614659841041
TM30 - Gamut Index (Rg),103.93609616918498
"TM30 - Rcs, h1",-0.03338607873508031
"TM30 - Rf, h1",93.42224190425523
