Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029400311371
CIE 1931 xy chromaticity [x],0.2835287112670683
CIE 1931 xy chromaticity [y],0.2958253442931721
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.28330857803835885
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.2995177581810201
S-cone-opic irradiance (mW ⋅ m⁻²),108.0542448559005
M-cone-opic irradiance (mW ⋅ m⁻²),153.32889011859288
L-cone-opic irradiance (mW ⋅ m⁻²),163.58942919944928
Rhodopic irradiance (mW ⋅ m⁻²),166.52147889902974
Melanopic irradiance (mW ⋅ m⁻²),157.55582073260433
S-cone-opic EDI (lx),132.21046605985197
M-cone-opic EDI (lx),105.32086556645002
L-cone-opic EDI (lx),100.42890863745644
Rhodopic EDI (lx),114.8658813080066
Melanopic EDI (lx),118.80127721992493
S-cone-opic ELR,1.0805392717399014
M-cone-opic ELR,1.5332843932820706
L-cone-opic ELR,1.6358894824284778
Rhodopic ELR,1.6652098932213617
Melanopic ELR,1.5755535751494743
"CCT (K) - Ohno, 2013",9314.375976718566
"CCT (K) - Robertson, 1968",9317.532317682982
Colour Fidelity Index [Rf],98.4783009011335
Colour Rendering Index [Ra],98
CIE 1960 UCS [u],0.18956107355471272
CIE 1976 UCS [u prime],0.18956107355471272
CIE 1960 UCS [v],0.29667349877003185
CIE 1976 UCS [v prime],0.4450102481550478
Duv,0.00218681037042201
"TM30 - CCT (K) - Ohno, 2013",9314.61334890755
TM30 - Duv,0.00218694195269431
TM30 - Colour Fidelity Index [Rf],98.4781946798198
TM30 - Gamut Index (Rg),100.81300647337612
"TM30 - Rcs, h1",0.018252571957226044
"TM30 - Rf, h1",96.92613894072052
