Condition,Bestrahlungsstaerke (W/m^2)
Illuminance (lx),100.00029282576858
CIE 1931 xy chromaticity [x],0.31276997645176474
CIE 1931 xy chromaticity [y],0.32908355887230495
CIE 1964 x₁₀y₁₀ chromaticity [x₁₀],0.31385230821381643
CIE 1964 x₁₀y₁₀ chromaticity [y₁₀],0.33102209376560704
S-cone-opic irradiance (mW ⋅ m⁻²),81.71076058973132
M-cone-opic irradiance (mW ⋅ m⁻²),145.57483848942988
L-cone-opic irradiance (mW ⋅ m⁻²),162.88998179499285
Rhodopic irradiance (mW ⋅ m⁻²),144.95258461336985
Melanopic irradiance (mW ⋅ m⁻²),132.60158752508255
S-cone-opic EDI (lx),99.97772650283294
M-cone-opic EDI (lx),99.99464538316468
L-cone-opic EDI (lx),99.99951206933702
Rhodopic EDI (lx),99.98774025772323
Melanopic EDI (lx),99.98512201021795
S-cone-opic ELR,0.8171052132026926
M-cone-opic ELR,1.4557441221003846
L-cone-opic ELR,1.6288950481254845
Rhodopic ELR,1.449521601560928
Melanopic ELR,1.3260119923460174
"CCT (K) - Ohno, 2013",6499.878983078801
"CCT (K) - Robertson, 1968",6499.264662776722
Colour Fidelity Index [Rf],99.99260092988217
Colour Rendering Index [Ra],100
CIE 1960 UCS [u],0.19784727997360393
CIE 1976 UCS [u prime],0.19784727997360393
CIE 1960 UCS [v],0.31225001714779294
CIE 1976 UCS [v prime],0.46837502572168943
Duv,0.0032146579258920394
"TM30 - CCT (K) - Ohno, 2013",6499.907950430842
TM30 - Duv,0.003214761759353868
TM30 - Colour Fidelity Index [Rf],99.99256321439253
TM30 - Gamut Index (Rg),99.99880892041958
"TM30 - Rcs, h1",-0.0000059012393861097355
"TM30 - Rf, h1",99.99617508217653
